Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number, Supplier 1, Supplier 1 Part Number, MacroFab Part Number
J1,USB-C_Female,Reclaimer_Labs:USB-C_Female_105450-0101,,JAE Electronics,DX07S024JJ3R1300,Digikey,670-2846-1-ND,
R1,4.7k,Capacitors_SMD:C_0603,,Yageo,RC0805FR-074K7L,Digikey,311-4.70KCRCT-ND,MF-RES-0603-4.7K
C5,470pF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R9BB471,Digikey,311-1078-1-ND,
C3,1uF,Capacitors_SMD:C_0805,,,,,,MF-CAP-0805-1uF
C2,0.1uF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-0.1uF
C1,10uF,Capacitors_SMD:C_1206,,,,,,MF-CAP-1206-10uF
C6,470pF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R9BB471,Digikey,311-1078-1-ND,
R2,4.7k,Capacitors_SMD:C_0603,,Yageo,RC0805FR-074K7L,Digikey,311-4.70KCRCT-ND,MF-RES-0603-4.7K
R3,4.7k,Capacitors_SMD:C_0603,,Yageo,RC0805FR-074K7L,Digikey,311-4.70KCRCT-ND,MF-RES-0603-4.7K
U1,FUSB302BMPX,Reclaimer_Labs:MLP_14,,Fairchild,FUSB302BMPX,Digikey,FUSB302BMPXCT-ND,
C4,0.1uF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-0.1uF
J2,USB_OTG,Reclaimer_Labs:USB_Micro-B_10118193,,,,,,MF-CON-MICROUSB-RIGHT
J4,CONN_02X03,Socket_Strips:Socket_Strip_Angled_2x03,,,,,,MF-CON-2.54mm-2x3
J3,CONN_02X03,Socket_Strips:Socket_Strip_Angled_2x03,,,,,,MF-CON-2.54mm-2x3
J5,CONN_02X03,Socket_Strips:Socket_Strip_Angled_2x03,,,,,,MF-CON-2.54mm-2x3
